star,review
4.8,"남자친구와 커플여행으로 갔어요. 뷰도 좋고 직원분들도 친절해서 좋았습니다. 청소해주시는 분들도 복도에서 마주쳤는데 너무 너무 친절하셨고, 방도 너무 깨끗해서 편하게 잘 쉬다온 것같습니다ㅎㅎ 기회가 된다면 자주 가서 푹 쉬다오고싶은 곳이었습니다."
4.5,시간이오래됐나요?침대매트리스허리가끊어질뻔했어요! 20번넘게갔는데 이번에 진짜ㅠ 그리고 수돗물에서 물비린내가 왜케 많이나는지.. 가습기틀었다가새벽에 끄고.. 리모컨은 전원버튼이 고장ㅠ 앞으로 관리잘되는 호텔이 되길바랍니다~
4.8,지난번에는 친구랑 가서 (트윈베드)29층 배정받았는데 이번에는 더블베드라 그런지 훨씬 고층을 배정받았어요~역시나 시설 좋았구요 뷰 도 말이 필요없었습니다 확실히 시티뷰가 더 예쁩니다! 항상 믿고 가는 노보텔 스위트네용 다음에도 쉬러 가겠습니다:D
5,룸컨디션도좋고 직원분들 친절하시고.. 넘좋았습니다ㅠㅠ 다만 체크아웃 시간 딱맞게 하시면 저층은 엘베 아예 못타겠더라구요 ㅋㅋ 빨리움직이셔야할듯; 용산역에서 길도 바로나있고 이마트도 금방 가는거리라 남자친구랑 넘 편하게 잘놀고왔습니다 :) 다음에도 용산온다면 이용할것같아요
5,36층 남산뷰로 방 배정받았는데 넘 좋았으요~! 엄마랑 둘이 간건데 잘 쉬고왔어요 ㅎㅎ26층조식은 가짓수가 적은거 빼고는 괜찮았어요~ 야경도 굿이에요
5,방 컨디션이 너무 좋았고 시티뷰의 야경은 정말 최고였어요 고층이라 서울 중심지를 높은시야에서 볼수있어 좋았어요 조식은 정말 최고 강추!
5,"침대 최고입니다 ㅋㅋㅋ룸컨디션은 뭐 말할거없이 너무좋구요 ㅎㅎ다만 시티뷰 배정받앗는데 별로더라구요 ,,남산뷰로 했음 좋을뻔햇네요 ㅎㅎ"
5,피자를 왜 패키지에 넣었는지 이해가 되는 맛이었습니다. 진짜 엄청 맛있는 피자여서 놀랐어요!! 호텔 전반적으로 마음에 들지만 넓은 만큼 코로나 때문인지 투숙객이 더 많이 돌아다녀야하는.... 불편함이 있어서 그 점이 조금 아쉬웠습니다. 특히나 맛있는 피자를 가지러 가야한다는거요ㅠㅠ 스위트룸에 있다보니 피자를 제일 반대편 건물까지 가지러 가는게.... ㅠㅠ 그리고 저는 다음날 다른 노보텔에서 또 숙박을 했는데 음.. 거기도 당연히 칫솔이 없는 줄 알고 챙겨갔지만 있더군요 ㅋㅋㅋㅋ 친환경문제 때문에 어메니티 제한 두는점은 이상적이지만 호텔이라는 공간은 편하게 있기 위해 가는 곳인 만큼 다시한번 칫솔세트나 피맥세트에 대해 고민해보았으면 좋겠습니다.
5,"생각보다 체크인 웨이팅 시간이 길었던것, 방안에 전등하나가 계속 깜빡거려서 소등하고 지낸것 외에는 다 너무 좋았어요! 직원분들 모두 친절하시고 룸서비스도 맛있구요.. 남산뷰 선택했는데 노을질때 정말 예뻤어요.. 하루종일 창밖만 보게되는.. 드래곤시티 내에 음식점도 많고 편의점도 있어서 안에서만 호캉스 보내기도 좋앗구요! 조식을 26층에서 먹었는데 생각보다 가짓수도 많고 맛있었습니다 :) 레이트 체크아웃도 너무 편하고 좋았네요! 다음번에도 또 오고싶습니당!"
5,저녁8시 급 수영하고 싶어서 찿다간곳 인데 생각보다 룸도 사진보다 크고 뷰도 매우 좋았어요.수영장수심도 마음에 들었고 무엇보다 체크인때 패키지 피자로 시간이 애매했는데 너무 친절하게 해결해주셔서 정말 감사했어요^^수영도 하고 무사히 피자도 맛있게 먹었답니다^^
